gene,composite,mechanism_axis_class,dupixent_competitive,off_axis_novelty_rank,one_line_rationale
ARNT,0.4639,off-axis novel mechanism,False,1,"Dossier: KD removes HIF-1beta, obligate partner of HIF-2alpha, collapsing the HIF-2alpha->GATA3 Th2 circuit; T-bet/IFNg has no HIF requirement — cleanest off-receptor route, medium confidence."
RBCK1,0.6213,off-axis novel mechanism,False,2,"Dossier: HOIL-1L/LUBAC loss dampens NF-kB p50-selective GATA3/IL-4 arm (Das 2001) while c-Rel/RelA carry Th1 — NF-kB subunit selectivity, off the IL-4R spine; tempered by 2025 LUBAC-dispensable counter-evidence."
BRPF1,0.542,off-axis novel mechanism,False,3,"Dossier: loss removes MOZ/HBO1 HAT scaffold (H3K14ac), destabilizing GATA3-supported program via chromatin, no T-bet rise — off-axis chromatin route but confounded by BRPF1's proliferation role."
SRD5A3,0.7566,off-axis novel mechanism,False,4,"No deep dossier; polyprenol/dolichol reductase feeding N-glycosylation (CDG gene) — generic metabolic/glycosylation route off the IL-4R/STAT6/GATA3 spine; provisional, global-magnitude confound risk."
SLC33A1,0.6624,off-axis novel mechanism,False,5,"No deep dossier; ER acetyl-CoA transporter (AT-1) for secretory-protein acetylation/autophagy — metabolic route off the IL-4R spine; provisional, broad secretory/global confound risk."
GPATCH8,0.7384,off-axis novel mechanism,False,6,"No deep dossier; G-patch RNA-processing/spliceosome cofactor with no Th2 wiring — off-axis RNA-processing route; provisional, high global-magnitude confound risk."
DOHH,0.4252,off-axis novel mechanism,False,7,"No deep dossier; deoxyhypusine hydroxylase completing eIF5A/hypusine maturation — translation/metabolic route off the Th2 spine; provisional, strong translation/proliferation confound risk."
MPG,0.6754,off-axis novel mechanism,False,8,"No deep dossier; N-methylpurine DNA glycosylase (base-excision repair) with no Th2 wiring — off-axis genome-maintenance route; provisional, high global/proliferation confound risk."
TFAP4,0.4062,"GATA3-convergent, off-receptor",False,9,"Dossier: c-Myc-induced bHLH-ZIP; footprint runs via loss of IL-2Ra-STAT5 proliferative program feeding GATA3/IL-4, sparing STAT5-independent Th1 — converges on GATA3 off the IL-4R receptor but heavily proliferation-confounded, no established Th2 wiring."
ARL1,0.7032,on-axis (IL-4R/STAT6 node),True,10,"Dossier explicitly routes through autocrine loop: TGN trafficking loss blunts IL-4 secretion + IL-4Ra surface delivery, starving the IL-4->STAT6->GATA3 feedback — same axis Dupixent hits, different node."
RAB21,0.827,on-axis (IL-4R/STAT6 node),True,11,"Dossier explicitly routes through autocrine loop: disrupted endosomal recycling of a Th2-supporting surface receptor (IL-4Ra->STAT6->GATA3) — on the Dupixent axis, upstream trafficking node."
P4HB,0.7699,on-axis (IL-4R/STAT6 node),True,12,"No deep dossier; PDI/ER disulfide folding of secreted+surface proteins incl. IL-4Ra — same secretory-starvation logic as ARL1/RAB21 feeds the autocrine IL-4->STAT6 loop; provisional, Th1 markers trend up (th1_z=+1.0), broad secretory confound."
STAT6,0.4833,on-axis (IL-4R/STAT6 node),True,13,"The STAT6 node itself — the transducer Dupixent's IL-4Ra blockade acts through; known-Th2 calibration control, directly Dupixent-competitive, no novelty value."
GATA3,0.5958,on-axis (IL-4R/STAT6 node),True,14,"The Th2 master TF and terminal node of the IL-4R->STAT6->GATA3 spine; known-Th2 calibration control, on-axis by definition, no novelty value."
NDFIP2,0.7868,likely false positive,False,15,"Dossier argues against hit: Nedd4-adaptor substrates JunB/JAK1 are POSITIVE Th2 drivers, so canonical biology predicts KD should RAISE IL-4/IL-5 — Th2-down footprint likely off-axis/redundancy artifact, not genuine selective suppression."
CBX5,0.7375,likely false positive,False,16,Dossier argues against hit: HP1alpha's best CD4 role represses Th1 (Ifng/Tbx21) to stabilize Th2 (Allan 2012); under real polarization KD should de-repress Th1 — selectivity likely a non-polarized-context artifact.
